Column1;id_str;text;screen_name;search_term;search_term_group;source;ibm_watson_sentiment;sentiment_revised;sentiment
5440;1,45102E+18;Pq tem gente falando quem casou e quem não casou, sendo que no ultimo episódio o cabeça de nois todos estavam visitando… https://t.co/q4RDVRqU1G;kaiquevlima;netflix;netflix;Twitter for Android;-6,83367E+15;0;-1
3162;1,45083E+18;Vou ter q assinar o globoplay só pra assistir verdades secretas af;Gois99Leticia;globoplay;globoplay;Twitter for iPhone;-8,91873E+15;-1;-1
2602;1,45101E+18;PAREM DE ASSISTIR VERDADES SECRETAS O GLOBOPLAY É PIXULÉ E TA CAINDOOOOOOO;w_petun;globoplay;globoplay;Twitter for iPhone;-9,24123E+15;-1;-1
5341;1,45116E+18;enfim vendo death note antes de tirarem da netflix depois da matéria que rolou kkkkkk;arigoncalvex;netflix;netflix;Twitter Web App;-6,52531E+15;-1;-1
7659;1,44949E+18;@nanacaligari @Netflix_Sandman @e3echo @lovegwendoline @neilhimself Cali me mandou e eu NÃO ESTOU NENHUM POUCO BEM;n_ins;netflix;netflix;Twitter for iPhone;-728079;-1;-1
5776;1,45087E+18;resmunguei horrores qd anunciaram rebelde da netflix, qd saiu o trailer assist mil vezes pq eu gostei e agr saiu a… https://t.co/Q5rZI7u8O5;_alinii;netflix;netflix;Twitter for iPhone ;-760904;-1;-1
2328;1,45126E+18;Hahahahah... Acabei de maratonar #VerdadeSecretas2 todos os capítulos disponíveis na @globoplay , pq sou desses...… https://t.co/sNvRCVmrbO;Renatak_Soares;globoplay;globoplay;Twitter for Andróide;8417;1;1
4884;1,45152E+18;"é muito bonitinho quando a minha avó faz isso
outro dia nós colocamos netflix na tv ai ela anotou o passo a passo n… https://t.co/W5HABPfCDQ";WhySoYoo;netflix;netflix;Twitter for Android;8,93771E+15;1;1
2703;1,451E+18;Eu acho que a cada bloco de 10 capítulos liberados o @globoplay tem que fazer uma live com o primeiro pés gente bunda… https://t.co/5EfgBaB2qi;BrunoSilvano;globoplay;globoplay;Twitter for iPhone;591225;-1;1
2987;1,45096E+18;Assistir Verdades Secretas 2 - Segunda Temporada Todos Os Episódios Online #VerdadesSecretas2 #Globoplay… https://t.co/F5KzBjnpLM;NitroNewsBrasil;globoplay;globoplay;Twitter Web App;810308;0;1
